V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,Y
0,0,0,0,1,0,0,0,0,0.0,0,1.860615095526515,-0.09820007509459042,1,0,0,0.0,0,0,0,0.0,0,0,0,0,-0.01046510622623468,0,0,0,1,0.0987342881373776,0.0,0,0,0,1.307994330984149,0,0,0,0,0,1,0,1,0,0,-0.08277727382934322,0,0,0,0,0.0,0,0,0,0,1.60937275120579,0,0,0,0,0,0,0,0,0,0,0,1.676674684445471,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.03751034374101057,0,1,1.100625414787287,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.208519490716935,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.3061521585499928,-0.252193569636529,1,0,0,0.0,0,0,0,0.0,0,0,0,0,-0.1364137361245854,0,0,0,1,-0.2562027395454174,0.0,0,0,0,-0.5327614374143812,0,0,0,0,0,1,0,1,0,0,-0.2525880195821297,0,0,0,0,0.0,0,0,0,0,-0.4169344221645954,0,0,0,0,0,0,0,0,0,0,1,0.00293268970180479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.04904016446116344,0,0,-0.603043857532001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08993889259433263,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.7619376660506267,-0.1585733168679878,1,0,0,0.74652105,0,1,0,0.0,0,0,0,0,0.1155356580075368,0,0,0,1,-0.3007477371581914,0.0,0,0,0,-0.7340882778282329,0,0,0,0,0,0,0,1,0,0,-0.151982772138311,0,0,0,0,0.0,1,0,0,0,-0.6049313165377066,0,0,0,0,0,0,0,0,0,0,0,-0.6527830814133452,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.08137541835759306,0,0,-0.603043857532001,0.66536179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4590309481327499,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.0,0,-0.7631130618481965,-0.2183202824416511,0,0,0,0.0,0,0,0,0.0,0,0,0,0,-0.0827203424265528,0,0,0,1,-0.07764136613940892,0.0,0,0,0,-0.7153492914651421,0,0,0,0,0,1,0,1,0,0,-0.1023868554000624,0,0,0,0,0.0,1,0,0,0,-0.8874306102940562,0,0,0,0,0,0,0,0,0,0,0,-1.379458179577076,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1442484012831204,0,0,-0.603043857532001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2840655033182712,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.9863213880426214,-0.1604501982346816,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0.09960551675496852,0,0,0,1,-0.06790954362089553,0.0,0,0,0,-1.181007429630028,0,0,0,0,0,0,0,1,0,0,-0.1631086116192422,0,0,0,0,0.0,0,1,0,0,-0.8041368113739478,0,0,0,0,0,0,0,0,0,0,0,-1.332383249350821,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0253944773781879,0,0,-0.762762851811934,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.9808239709568382,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,1.234708217692701,-0.348390725399889,0,0,0,0.0,0,1,0,0.0,0,0,0,0,-0.07362095713261588,0,0,0,1,0.01313343513305107,0.0,0,0,0,1.753506508583386,0,0,0,0,0,0,0,1,0,0,-0.1440674811250111,0,0,0,0,0.0,0,1,0,0,1.475769040042752,0,0,0,0,1,0,0,0,0,1,0,1.193336893811011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.127951362345345,0,0,1.792741056666998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8724681360675836,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0.1012105034106035,-0.2606114317038858,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0.0433805392358574,0,0,0,1,-0.03751747951852882,0.0,0,0,0,-0.06114078176146608,0,0,0,0,0,1,0,1,0,0,-0.2010940001843325,0,0,0,0,0.0,0,1,0,0,-0.2510248637229691,0,0,0,0,0,0,0,0,0,0,0,0.2493117579858437,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.2666815928476907,0,0,-0.336845533732112,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.258732409063406,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0.2555221700053542,-0.2331258368886717,0,0,0,0.0,1,1,0,0.0,0,0,0,0,-0.1347492818610529,0,0,0,1,-0.1778449729729352,0.0,0,0,0,-0.3493398150545274,0,0,0,0,0,0,0,1,0,0,-0.2171710505344041,0,0,0,0,0.0,1,0,0,0,-0.07275080679901016,0,0,0,0,0,1,0,0,0,0,0,0.7518025965151586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.2090147156793716,0,0,-0.336845533732112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.369849442796627,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0.6810052041818936,-0.1924573811660237,0,0,0,0.0,0,1,0,0.0,0,0,0,0,-0.02771351402183711,0,0,0,1,-0.2394257489680369,0.0,0,0,0,0.7301660064702093,0,0,0,0,0,0,1,1,0,0,-0.2174981223582065,0,0,0,0,0.0,0,0,0,0,0.6887592524116043,0,0,0,0,1,0,0,0,0,0,0,1.016102415269025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0663307602409847,0,1,0.5149891024275317,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5737568812646374,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.2261489334817116,-0.2352263495327181,0,0,0,0.0,1,1,0,0.0,1,0,0,0,0.0788845903456989,0,0,0,1,-0.02031365528612526,0.0,0,0,0,-0.1970659330416481,0,0,0,0,0,0,0,1,0,0,-0.2810352303677726,0,0,0,0,0.0,0,1,0,0,-0.5779444731192127,0,0,0,0,0,0,0,0,0,0,0,0.1216821526597932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1741587706796409,1,0,-0.336845533732112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2482669847143912,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.8237748431519002,-0.2311137276076358,1,0,0,0.0,0,1,0,0.0,1,0,0,0,-0.1136853061975789,0,0,0,1,-0.177055367133753,0.0,0,0,0,-1.224929234677341,0,0,0,0,0,0,0,1,0,0,-0.2106011679893212,0,0,0,0,0.0,0,0,0,0,-0.7759629680984438,0,0,0,0,0,0,0,0,0,0,0,-1.436982478388601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.1820147214667079,0,0,-0.762762851811934,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.8636901435356192,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.8364185509298568,-0.1995288813629857,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.05874372848622326,0,0,0,1,-0.09684484139527219,0.0,0,0,0,-0.2055474256825979,0,0,0,0,0,1,0,1,0,0,-0.02271072692043208,0,0,0,0,0.0,0,0,0,0,-0.6096439864810952,0,0,0,0,0,0,0,0,0,0,1,-0.9381292316880641,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03466082544005394,0,0,-0.336845533732112,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.315339982533301,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,2.830756001082409,-0.206539333575474,0,0,0,0.0,0,0,0,1.0,0,0,0,0,-0.012034996837326,0,0,0,1,-0.00819598516030702,0.0,0,0,0,1.689775152705954,0,1,0,0,0,1,1,1,0,0,-0.1377042546074378,0,0,0,0,0.0,0,0,0,0,2.368008727328793,0,0,0,0,0,0,0,0,0,0,0,2.310025493900142,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.1384328397861311,0,0,1.792741056666998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330010450961242,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0.0,0,0.3573054048824676,-0.2242987872691457,0,0,0,0.0,0,1,0,0.0,0,0,0,0,-0.006897670017057808,0,0,0,1,0.3871808272268349,0.0,0,0,0,-0.1601394971491206,0,0,0,1,1,0,0,1,0,0,0.4068640977016909,0,0,0,0,0.0,0,1,0,0,-0.2297933479278997,0,0,0,0,0,0,0,0,0,0,0,0.565960453242382,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09993650162511117,0,0,-0.336845533732112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9876552787840446,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0.0,0,-0.2727460425123557,-0.2776250268044876,0,0,0,0.0,0,1,0,0.0,0,0,0,0,-0.04641054247387413,0,0,0,1,-0.04492654708334713,0.0,0,0,0,-0.5340407309381668,1,0,0,0,0,0,0,1,0,0,-0.2155553969373857,0,0,0,0,0.0,0,0,1,0,-0.5206298946447033,0,0,0,0,0,0,0,0,0,0,1,-0.1083541241886143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.178874766600296,0,0,-0.603043857532001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5131868335043502,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0,-0.7379659039605988,-0.2281726502827882,0,1,0,0.0,0,0,0,0.0,0,0,0,0,-0.006360210461617626,0,0,0,1,-0.0245889664725026,0.0,0,0,0,-1.04904500973154,0,0,0,0,0,1,1,1,0,0,-0.01967440611509432,0,0,0,0,0.0,0,0,0,0,-0.908245542229088,0,0,0,0,1,0,0,0,0,0,0,-0.9378367977711116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.2007036652788676,0,0,-0.762762851811934,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.116574107637104,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0.0,0,-0.7823883888842861,-0.1490625086208788,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.05120453465939599,0,0,0,1,-0.2253007970346619,0.0,0,0,0,-0.2205397795339554,0,0,0,0,0,1,0,1,0,0,-0.1215438173567057,0,0,0,0,0.0,0,0,0,0,-0.5498104113515929,0,0,0,0,0,0,0,0,0,0,0,-0.8750795814748753,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.2345428340271877,0,0,-0.336845533732112,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7184638656364877,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0.0,0,-0.08151344077324363,-0.03379585377449507,1,0,0,0.0,0,1,0,0.0,0,0,0,0,0.06991092610770555,0,0,0,1,-0.0865636570086377,0.0,0,0,0,-0.08296806338154561,0,0,0,0,0,0,0,1,0,0,-0.154943085759668,0,0,0,0,0.0,0,0,0,0,-0.07523709942722762,0,0,0,1,0,0,0,0,0,0,0,0.06642586103806644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.07925166648864393,0,0,-0.336845533732112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205133036987726,0,0,0,0,0,0,0
